,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12,item13,item14,item15,item16,item17,item18,item19,item20,item21,item22,item23,item24,item25,item26,item27,item28,item29,item30,item31,item32,item33,item34,item35,item36,item37,item38,item39,item40,item41,item42,item43,item44,item45,item46,item47,item48,item49,item50,item51,item52,item53,item54,item55,item56,item57,item58,item59,item60,item61,item62,item63,item64,item65,item66,item67,item68,item69,item70,item71,item72,item73,item74,item75
617,Coba Program - Mengenal Tubuh [Prasekolah/2-6 tahun],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,Prinsip CINTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,Bahasa dan Sastra Inggris Kelas 11 SMAN 34 Jakarta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,Menjadi Banker Muda bersama CTBC,Desain Grafis Percetakan-SMK-SMKN 2-Jakarta,Pengusaha Muda,TEKNIK PENGOLAHAN AUDIO VIDEO -KELAS XII-SMKN 2-JAKARTA,Obrolan Live! #GuruMerdekaBelajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,Kelas 2 SD – Dinas Pendidikan DKI,Membacakan Cerita: Komik Virus Corona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,PTKMB Pengantar Program PTK Merdeka Belajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,Coba Program - Mengenal Tubuh [Prasekolah/2-6 tahun],Home Learning - Mengenal Tubuh [Prasekolah/2-6 tahun],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,Contoh Aktivitas Online di Sekolahmu,Nonton Bareng Guru Merdeka Belajar,Panduan Guru untuk Tatanan Belajar Baru 2020/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,Obrolan Live! #GuruMerdekaBelajar,Pelatihan Membuat Pembelajaran Jarak Jauh yang Menyenangkan dan Bermakna,Obrolan #PemimpinMerdekaBelajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,Merancang Program Belajar di Sekolahmu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,Sejarah Indonesia Kelas X-Dinas Pendidikan Jakarta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,Nonton Bareng Guru Merdeka Belajar,Panduan Orangtua Mendampingi Anak Belajar Jarak Jauh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,Kelas Merdeka Belajar – Kampus Guru Cikal,Panduan Orang Tua Mendampingi Anak Belajar 2020/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,Obrolan Live! #PemimpinMerdekaBelajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,Obrolan #PemimpinMerdekaBelajar,Merancang Program Blended Learning Bermakna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,Pelatihan Membuat Pembelajaran Jarak Jauh yang Menyenangkan dan Bermakna,Membuat Video Pembelajaran Online Bersama Sekolah.mu,Pembelajaran Jarak Jauh Menyenangkan Bermakna - Mitra,Prinsip CINTA – Keluarga Kita,Obrolan Live! #GuruMerdekaBelajar,Fasilitator Pengajaran Abad ke-21 – Sekolahmu,Obrolan #PemimpinMerdekaBelajar,Sekolah Cikal Cilandak - Inklusi - TK B - Bahasa Indonesia - Athallah,Home Learning - Alam & Sekitarku [Prasekolah/2-6 tahun],Merancang Program Blended Learning Bermakna Jawa Tengah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,Pembelajaran Jarak Jauh di Kondisi Darurat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,Membangun Mentalitas untuk  Mengejar Impianmu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,PTKMB-Refleksi CINTA dalam Pengasuhan dan Pengajaran,PTKMB - Kesepakatan Kelas Merdeka Belajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,Obrolan #PemimpinMerdekaBelajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,Panduan Orang Tua Mendampingi Anak Belajar 2020/2021,Obrolan #PemimpinMerdekaBelajar,Computer Graphic Beginner,Prinsip CINTA,Program Liburan SD: Mari Menjaga Lingkungan,Peran Guru dalam Pendidikan Abad ke-21,Cara Mudah Membuat Video Pembelajaran,Basic Functional Fitness (SD 1 – 3),Fasilitator Pengajaran Abad ke-21 – Sekolahmu,Pengrajin Cilik: Prakarya Kreasi Tangan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,Promote Business using Instagram,Sukses Jualan Lewat Social Media (Pemula),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,Pelatihan Membuat Pembelajaran Jarak Jauh yang Menyenangkan dan Bermakna - Angkatan 3,Obrolan Live! #GuruMerdekaBelajar,Pemimpin Sekolah Merdeka Berkarya,Obrolan #PemimpinMerdekaBelajar,Pelatihan Membuat Pembelajaran Jarak Jauh yang Menyenangkan dan Bermakna - Angkatan 4,Pelatihan Membuat Pembelajaran Jarak Jauh yang Menyenangkan dan Bermakna - Angkatan 2,Prinsip CINTA – Keluarga Kita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,"Sanlat PSQ ""My Ramadhan Journey"" Kelas 1-3 SMP Minggu 1",Pelatihan Membuat Pembelajaran Jarak Jauh yang Menyenangkan dan Bermakna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,Contoh Aktivitas Online di Sekolahmu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,Menjadi Pemimpin Merdeka Belajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,Menjadi Guru Merdeka Berkarya,Menjadi Guru Merdeka Berkarya Bersama Sekolah.mu,Monster Art,101 Pertanyaan Seputar Basic Parenting,Panduan Orangtua Mendampingi Anak Belajar Jarak Jauh,Peran Guru dalam Pendidikan Abad ke-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,Contoh Aktivitas Online di Sekolahmu,Menjadi Guru Tangguh Pembelajaran Campuran,SMA Siap Karier,"Orientasi PAUD, RA, SD, MI, PaketA Tahun Pelajaran Baru",Menjadi Guru Merdeka Berkarya Bersama Sekolah.mu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,Pembelajaran Jarak Jauh Menyenangkan Bermakna - Partner,Pemetaan SMB,Obrolan #PemimpinMerdekaBelajar,Panduan Orang Tua Mendampingi Anak Belajar 2020/2021,Panduan Orangtua Mendampingi Anak Belajar Jarak Jauh,AADC: Ada Apa dengan Corona?,Mencintai dengan Lebih Baik,Obrolan Live! #GuruMerdekaBelajar,"Main Lomba Tiup Bola, Yuk!",Contoh Aktivitas Online di Sekolahmu,Memanfaatkan Zoom Untuk Kegiatan Belajar Mengajar,Nonton Bareng Guru Merdeka Belajar,Pembelajaran Jarak Jauh di Kondisi Darurat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,Inovator Cilik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,Guru Merdeka Belajar,Panduan Orang Tua Mendampingi Anak Belajar 2020/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,Pengetahuan tentang Anatomi Badan untuk Pijat Refleksi,Kesepakatan Kelas Merdeka Belajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,Pengenalan Profesi Sutradara,Programmer Muda,Panduan Orang Tua Mendampingi Anak Belajar 2020/2021,Temukan Cara Belajarmu,Temukan Cara Belajar Jarak Jauh yang Menyenangkan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,Menjadi Guru Merdeka Berkarya Bersama Sekolah.mu,Cara Mudah Membuat Video Pembelajaran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,Obrolan #PemimpinMerdekaBelajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,"Festival Keluarga Kita, Sabtu-Minggu, 26-27 Juni 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,Kelas 4 SD – Dinas Pendidikan DKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,Pembelajaran Jarak Jauh Menyenangkan Bermakna Angk. 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,Obrolan Live! #GuruMerdekaBelajar,Membuat Konten Digital Pengajaran Abad ke-21,Fasilitator Pengajaran Abad ke-21 – Sekolahmu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,Contoh Aktivitas Online di Sekolahmu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,Aplikasi Terbaik untuk Pembelajaran Jarak Jauh,Festival Murid Merdeka: Sayembara Tik-Tok,Festival Murid Merdeka: Sayembara Menggambar,Obrolan Live! Guru Merdeka Belajar,Biologi Kelas 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,Obrolan Live! #GuruMerdekaBelajar,Merancang Program Blended Learning Bermakna,Menjadi Guru Merdeka Berkarya Bersama Sekolah.mu,Pengrajin Cilik: Prakarya Kreasi Tangan,Inovator Cilik: Percobaan Perubahan Energi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,"Main Tebak Langkah, Yuk!",Refleksi CINTA dalam Pengasuhan dan Pengajaran,Menjadi Guru Merdeka Berkarya Bersama Sekolah.mu,[Sekolah Cikal Serpong] SMC Vocal Intermediate 5 & 6,Panduan Orang Tua Mendampingi Anak Belajar 2020/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,Pembelajaran Jarak Jauh di Kondisi Darurat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,Monster Art,Ragam Hias pada Tekstil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,Membuat Video Pembelajaran Online Bersama Sekolah.mu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,Obrolan Live! #PemimpinMerdekaBelajar,Wardah Inspiring Teachers 2021: Guru Merdeka Belajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,Nonton Bareng Guru Merdeka Belajar,Digital Parenting – Keluarga Kita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,Fakta di Balik Virus Corona,Pelatihan Membuat Pembelajaran Jarak Jauh yang Menyenangkan dan Bermakna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,Panduan Orangtua Mendampingi Anak Belajar Jarak Jauh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,Obrolan Live! #GuruMerdekaBelajar,Pembelajaran Jarak Jauh di Kondisi Darurat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,Ekonomi Bisnis Kelas X - SMKN 47 Jakarta,Sosiologi Kelas XI SMA-Dinas Pendidikan Jakarta,Ekonomi Kelas XII - SMAN 34 Jakarta,Praktikum Akuntansi Lembaga Kelas XI SMK N 11 Jakarta,Sosiologi Kelas 11 SMA/K Dinas Pendidikan DKI,Perencanaan Bisnis-smk-smkn2-jakarta,Bahasa Inggris Wajib Kelas X SMA/K-Dinas Pendidikan Jakarta,Bisnis Online,Bahasa Inggris Kelas 9 SMP - Dinas Pendidikan Jakarta,Sosiologi Kelas 12 SMA/K Dinas Pendidikan DKI,Bimbingan dan Konseling SMA Kelas 10-Dinas Pendidikan Jakarta,Bimbingan dan Konseling Kelas XI SMA/K-Dinas Pendidikan,Bahasa Indonesia Kelas 9 SMP - Dinas Pendidikan Jakarta,[Sekolah Cikal Surabaya] English Acquisition  7,Prakarya dan Kewirausahaan Kelas 10-Dinas Pendidikan Jakarta,Sosiologi Kelas 10 SMA/K Dinas Pendidikan DKI,PKWU Kelas XII SMAN 34 Jakarta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,Berkenalan dengan Sekolahmu! (Guru),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,Teknisi Jaringan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,Merancang Program Blended Learning Bermakna,Sejarah Kelas X SMK Negeri 71 Jakarta Masa Praaksara,Panduan Sekolah untuk Pembelajaran Masa Transisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,Bahasa Jepang Kelas 10 SMA-Dinas Pendidikan Jakarta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,Obrolan Live! #GuruMerdekaBelajar,Fasilitator Pengajaran Abad ke-21 – Sekolahmu,Peran Guru dalam Pendidikan Abad ke-21,Kelas Keluarga Kita: Understanding Your Teenager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,GEOGRAFI KELAS 10,EKONOMI KELAS 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,Kelas Guru Online: Membuat Kesepakatan Kelas yang Kondusif,Obrolan #PemimpinMerdekaBelajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,Design Thinking : Ubah Bosen Jadi Seru Selama Corona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677,Obrolan #PemimpinMerdekaBelajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,Menjadi Guru Merdeka Berkarya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,Obrolan #PemimpinMerdekaBelajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,Facebook Marketing for Business,Siap Wirausaha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,Siap Karier,Trial Content Creator Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,ISB - Strategi Pembelajaran Campuran (Blended-Learning),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,Belajar di Museum Sejarah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
684,Menjadi Talenta Siap Kerja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,KIMIA KELAS 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,Fisika Kelas X SMA - Dinas Pendidikan Jakarta,Belajar Statistika di Jaman Now SMPN 271 Jakarta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,Refleksi CINTA dalam Pengasuhan dan Pengajaran,Kelas 2 SD – Dinas Pendidikan DKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,SIAP Ujian Nasional SMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,Matematika kelas 8-smpn 75 Jakarta,ENGLISH KELAS 8 - SMPN 199,Menjadi Talenta Siap Kerja,Product Management,Matematika kelas-8-LIMAS smp negeri 75 jakarta,Townhall Fellowship,Pelatihan BIMTEK EDM dan eRKAM untuk TIP & TIK-Kemenag RI,Membacakan Cerita: Komik Virus Corona,Pelatihan Membuat Pembelajaran Jarak Jauh yang Menyenangkan dan Bermakna - Mitra,SENIBUDAYA(MUSIK)-SMPN75,Pelatihan Membuat Pembelajaran Jarak Jauh yang Menyenangkan dan Bermakna - Angkatan 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,Temukan Cita - Citamu,FISIKA KELAS 12,SOSIOLOGI KELAS 11,ENGLISH KELAS 8 - SMPN 199,Fisika SMA Kelas 10 - Gerak & Hukum Newton,Cara Mudah Membuat Video Pembelajaran,Merancang Program Belajar di Sekolahmu,Pembelajaran Jarak Jauh Menyenangkan Bermakna - Mitra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,Temukan Cara Belajarmu,Menjadi Talenta Siap Bisnis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,Digital Parenting,Obrolan #PemimpinMerdekaBelajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,Bahasa Jepang Kelas 10 SMA-Dinas Pendidikan Jakarta,Belajar dari Ki Hadjar Dewantara,Menerapkan 5M Dalam Diskusi Daring Bermakna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694,SMSG 101: Nilai Barengan Semua Murid Semua Guru,Obrolan Live! #PemimpinMerdekaBelajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695,Home Learning - Alam & Sekitarku [Prasekolah/2-6 tahun],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,Menjadi Guru Merdeka Berkarya Bersama Sekolah.mu,Obrolan Live! Guru Merdeka Belajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,Obrolan #PemimpinMerdekaBelajar,Pelatihan Membuat Pembelajaran Jarak Jauh yang Menyenangkan dan Bermakna,Nonton Bareng Guru Merdeka Belajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,Math Linked - Mengajar Matematika Bermakna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,Contoh Aktivitas Online di Sekolahmu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,Obrolan #PemimpinMerdekaBelajar,Nonton Bareng Guru Merdeka Belajar,Home Learning - Alam & Sekitarku [Prasekolah/2-6 tahun],Membuat Konten Digital Pengajaran Abad ke-21,Aplikasi Terbaik untuk Pembelajaran Jarak Jauh,Panduan Orang Tua Mendampingi Anak Belajar 2020/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,Nonton Bareng Guru Merdeka Belajar,Parenting Teenagers SRK SMM SMA,Memanfaatkan Zoom Untuk Kegiatan Belajar Mengajar,Pendidikan di Masa Depan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,Kelas 4 SD – Dinas Pendidikan DKI,Pemimpin Sekolah Merdeka Berkarya,Panduan Orang Tua Mendampingi Anak Belajar PAUD/SD,Berkenalan dengan Sekolahmu! (Guru),TEMATIK KELAS 5 SD SEMESTER SATU,Pembelajaran Jarak Jauh di Kondisi Darurat,Pemimpin Sekolah Merdeka Berkarya 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,Obrolan #PemimpinMerdekaBelajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,Prinsip CINTA,Digital Parenting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,Bahasa Inggris Kelas 12 - SMAN 34 Jakarta,Obrolan #PemimpinMerdekaBelajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,PR Intern – Nutrifood,Prinsip CINTA,Bisnis Online,Fakta di Balik Virus Corona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,Fun With Numbers,Obrolan Live! #PemimpinMerdekaBelajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,Membuat Video Pembelajaran Online Bersama Sekolah.mu,Membuat Konten Digital Pengajaran Abad ke-21,Siap Wirausaha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,SMA Siap Karier,Aplikasi Terbaik untuk Pembelajaran Jarak Jauh,Temukan Cara Belajarmu,Panduan Guru untuk Tatanan Belajar Baru 2020/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,SMA Siap Karier,Temukan Cara Belajarmu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,Siap Wirausaha,Obrolan #PemimpinMerdekaBelajar,Seri Orangtua Menumbuhkan Disiplin,Menjadi Pemimpin Merdeka Belajar,Prinsip CINTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,Membuat Video Pembelajaran Online Bersama Sekolah.mu,"Sanlat Pusat Studi Alquran  ""My Ramadhan Journey""  Kelas 1-3 SMP - Minggu 1",Siap Kerja,Panduan Orang Tua Mendampingi Anak Belajar 2020/2021,Sekolah Cikal - Kelas 5 - Matematika,Sekolah Cikal - Kelas 5 - IPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,PTKMB- Pengantar Program PTK Merdeka Belajar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
